Period;Iteration;CPULoad;RAMLoad
0;0;80,1273;0,4812
2;0;91,1440;0,4776
5;0;81,1143;0,4777
3;1;97,5961;0,4836
6;1;84,3516;0,4823
9;1;88,9477;0,4824
12;1;68,7281;0,4847
0;2;82,0103;0,4847
3;2;84,2592;0,4845
6;2;74,5125;0,4844
9;2;87,2625;0,4843
0;3;78,0222;0,4847
3;3;84,4981;0,4842
6;3;87,2779;0,4841
9;3;83,8821;0,4845
0;4;85,2798;0,4846
3;4;81,5483;0,4803
6;4;82,8887;0,4815
9;4;86,3255;0,4817
0;5;65,7554;0,4824
3;5;86,1020;0,4824
6;5;83,0680;0,4829
9;5;81,4830;0,4829
0;6;79,7506;0,4830
3;6;85,8488;0,4837
6;6;86,6532;0,4841
9;6;100,0000;0,4842
0;7;79,5548;0,4861
3;7;85,1556;0,4858
6;7;81,8773;0,4880
9;7;100,0000;0,4881
0;8;82,3511;0,4888
3;8;90,8647;0,4887
6;8;75,5563;0,4892
9;8;88,1308;0,4889
0;9;81,2799;0,4889
3;9;83,2542;0,4894
6;9;82,5917;0,4902
9;9;88,6040;0,4905
0;10;74,4058;0,4901
3;10;78,5244;0,4900
6;10;86,2936;0,4906
9;10;84,7969;0,4907
0;11;75,3273;0,4911
3;11;86,0746;0,4909
6;11;82,9692;0,4911
9;11;90,9942;0,4914
0;12;92,3174;0,4917
3;12;82,1424;0,4921
6;12;87,8605;0,4921
9;12;91,4225;0,4924
0;13;77,8684;0,4931
3;13;66,6625;0,4930
6;13;61,0820;0,4930
9;13;84,8538;0,4931
0;14;73,2410;0,4936
3;14;89,4815;0,4938
6;14;82,8203;0,4940
9;14;89,1115;0,4942
0;15;81,1747;0,4947
3;15;88,2031;0,4951
6;15;81,6764;0,4952
9;15;86,7865;0,4953
0;16;80,9349;0,4957
3;16;100,0000;0,4969
6;16;81,3716;0,4972
9;16;84,9007;0,4984
0;17;90,1888;0,4992
3;17;82,7918;0,4993
6;17;70,8161;0,5095
0;18;55,5400;0,5226
3;18;64,5646;0,5149
6;18;71,1907;0,5086
9;18;90,8788;0,5082
