Period;Iteration;CPULoad;RAMLoad
0;0;99,5219;0,4835
2;0;78,8316;0,4777
5;0;90,8154;0,4786
3;1;90,6381;0,4834
6;1;80,7513;0,4823
9;1;77,2167;0,4825
12;1;52,0379;0,4848
0;2;82,1740;0,4849
3;2;84,2592;0,4845
6;2;74,5125;0,4844
9;2;87,2625;0,4843
0;3;78,0222;0,4847
3;3;82,7978;0,4842
6;3;90,3320;0,4842
9;3;83,0547;0,4845
0;4;85,2798;0,4846
3;4;81,5483;0,4801
6;4;82,8887;0,4815
9;4;86,3255;0,4817
0;5;90,3487;0,4822
3;5;86,1020;0,4826
6;5;83,0680;0,4829
9;5;81,4830;0,4829
0;6;80,7691;0,4831
3;6;79,5616;0,4839
6;6;100,0000;0,4841
9;6;72,5121;0,4842
0;7;61,9330;0,4862
3;7;85,1556;0,4858
6;7;81,8773;0,4880
9;7;100,0000;0,4881
0;8;73,9591;0,4887
3;8;90,8647;0,4887
6;8;78,0962;0,4892
9;8;84,1667;0,4889
0;9;81,3785;0,4890
3;9;76,2216;0,4894
6;9;82,5917;0,4902
9;9;81,1076;0,4905
0;10;83,4871;0,4901
3;10;82,9009;0,4900
6;10;97,6607;0,4905
9;10;81,6666;0,4907
0;11;84,8312;0,4911
3;11;91,7955;0,4909
6;11;91,4975;0,4911
9;11;74,7966;0,4915
0;12;100,0000;0,4917
3;12;82,1424;0,4920
6;12;87,8605;0,4921
9;12;91,4225;0,4923
0;13;77,8684;0,4931
3;13;78,2989;0,4930
6;13;97,6644;0,4931
9;13;89,0675;0,4931
0;14;73,2410;0,4936
3;14;89,4815;0,4938
6;14;82,8203;0,4940
9;14;89,1115;0,4943
0;15;82,1523;0,4947
3;15;88,2031;0,4951
6;15;81,6575;0,4952
9;15;82,1010;0,4954
0;16;80,9349;0,4957
3;16;75,2658;0,4970
6;16;83,2012;0,4972
9;16;86,2858;0,4984
0;17;90,1888;0,4992
3;17;71,3244;0,4994
6;17;67,7760;0,5079
0;18;51,4775;0,5227
3;18;73,9141;0,5142
6;18;64,7107;0,5088
9;18;85,1835;0,5073
